DATE_TIME,USERS,CPU,MEM,DISK,PROCESS
06/24/2020 23:00,21,6.15,0.0704176,205460717,1662
06/24/2020 23:15,21,6.15,0.0704537,205425402,1656
06/24/2020 23:30,20,6.14,0.0703275,205428631,1651
06/24/2020 23:45,20,6.14,0.0703265,205434903,1654
06/25/2020 00:00,19,6.14,0.0702961,205458470,1652
06/25/2020 00:15,19,6.14,0.0702402,205481691,1647
06/25/2020 00:30,19,6.14,0.0702644,205501949,1647
06/25/2020 00:45,18,6.14,0.0701992,205505354,1639
06/25/2020 01:00,18,6.14,0.0701783,205493593,1637
06/25/2020 01:15,18,6.14,0.0701567,205496787,1638
06/25/2020 01:30,18,6.14,0.0701467,205509025,1637
06/25/2020 01:45,18,6.14,0.0701478,205487485,1638
06/25/2020 02:00,18,6.14,0.0701584,205478790,1637
06/25/2020 02:15,18,6.14,0.0701546,205480943,1639
06/25/2020 02:30,18,6.14,0.0701855,205519105,1638
06/25/2020 02:45,18,6.14,0.0701613,205519767,1638
06/25/2020 03:00,18,6.14,0.0701697,205521716,1638
06/25/2020 03:15,18,6.14,0.0701749,205520839,1637
06/25/2020 03:30,18,6.14,0.0701998,205520403,1637
06/25/2020 03:45,18,6.13,0.0689283,205521038,1635
06/25/2020 04:00,18,6.13,0.0689382,205521130,1637
06/25/2020 04:15,18,6.13,0.0689282,205521622,1633
06/25/2020 04:30,18,6.13,0.0689313,205522634,1634
06/25/2020 04:45,18,6.13,0.068855,205521508,1634
06/25/2020 05:00,18,6.13,0.0688515,205521590,1634
06/25/2020 05:15,18,6.13,0.0689021,205522122,1633
06/25/2020 05:30,19,6.13,0.0689694,205521776,1638
06/25/2020 05:45,19,6.13,0.0689611,205522167,1637
06/25/2020 06:00,19,6.13,0.0689459,205522552,1636
06/25/2020 06:15,19,6.13,0.0689551,205523404,1636
06/25/2020 06:30,19,6.13,0.068968,205522622,1636
06/25/2020 06:45,19,6.13,0.0689364,205523519,1637
06/25/2020 07:00,19,6.13,0.0689835,205523956,1640
06/25/2020 07:15,19,6.13,0.0689602,205524633,1636
06/25/2020 07:30,19,6.13,0.0689629,205524553,1638
06/25/2020 07:45,21,6.13,0.069045,205528040,1645
06/25/2020 08:00,22,6.13,0.0691242,205528867,1646
06/25/2020 08:15,21,6.12,0.069031,205531180,1642
06/25/2020 08:30,21,6.12,0.0690055,205530755,1642
06/25/2020 08:45,21,6.12,0.0690257,205531059,1642
06/25/2020 09:00,23,6.12,0.0691119,205532440,1659
06/25/2020 09:15,23,6.12,0.0690977,205534257,1648
06/25/2020 09:30,25,6.12,0.069334,205534999,1665
06/25/2020 09:45,26,6.12,0.0692861,205535370,1717
06/25/2020 10:00,28,6.12,0.0693601,205535686,1706
06/25/2020 10:15,41,6.12,0.070944,205536539,1742
06/25/2020 10:30,50,6.12,0.0717282,205537704,1784
06/25/2020 10:45,48,6.12,0.0717196,205538125,1780
06/25/2020 11:00,46,6.12,0.0714804,205541303,1789
06/25/2020 11:15,44,6.12,0.071257,205542719,1759
06/25/2020 11:30,43,6.12,0.0714289,205546279,1757
06/25/2020 11:45,42,6.12,0.0711562,205550336,1752
06/25/2020 12:00,43,6.12,0.0721127,205548182,1758
06/25/2020 12:15,40,6.12,0.0716348,205551326,1743
